,0
0,raconter
1,début
2,fin
3,développement
4,matin
5,midi
6,soir
7,nuit
8,aube
9,crépuscule
10,journée
11,monter
12,soleil
13,zénith
14,arriver
15,bateau
16,berge
17,bonjour
18,commencer
19,année
20,nouvelle
21,donne
22,gain
23,partie
24,ouverture
25,mise
26,envie
27,briller
28,brillamment
29,brio
30,gagner
31,carte
32,poser
33,faim
34,vorace
35,voracité
36,mise
37,table
38,serviteur
39,poser
40,assiette
41,fourchette
42,salutation
43,lever
44,assis
45,majestueux
46,femme
47,bal
48,danser
49,ouverture
50,musique
51,fleur
52,sonorité
53,sentiment
