,0
0,fin
1,continuité
2,cursus
3,chemin
4,route
5,navigable
6,voie_naviguable
7,autoroute
8,liaison
9,parcours
10,voiture
11,vélo
12,train
13,avion
14,avion
15,nature
16,nature
17,espace
18,atmosphère
19,terre
20,mer
21,océan
22,montagne
23,route
24,environnement
25,écosystème
26,terre
27,mer
28,océan
29,parcours
30,vélo
31,tricyle
32,mobylette
33,roller
34,piste_cyclable
35,piste_envol
36,parapente
37,avion
38,planeur
39,montgolfière
40,ballon_dirigeable
41,soleil
42,azur
43,groenland
44,vie
