,0
0,courage
1,mère
2,train
3,siège
4,voisin
5,livre
6,attente
7,fastidieuse
8,chargeur
9,téléphone
10,courage
11,zola
12,lénine
13,balzac
14,splendeur
15,courtisane
16,misère
17,eloïse
18,la_nouvelle_eloïse
19,rousseau
20,se_vexer
21,solitaire
22,promeneur
23,cœur_à_faire_quelque-chose
24,décision
25,absence_de_décision
26,courage
27,armée
28,soldat
29,napoléon
30,joséphine
31,de_beauharnais
32,livre
33,commentaire
34,danois
35,générosité
36,absence_d'égoïsme
37,allocation
38,étudiant
39,courage_politique
40,françois_hollande
41,julie_gayet
42,absence_de_décision
43,ségolène_royal
44,turpitude
45,cupidité
46,pauvreté
47,richesse
48,richesse
49,livre
50,cahier
