,0
0,courage_
1,promenade
2,serpent
3,courage
4,lutte
5,maladie
6,douleur
7,force
8,vaillance
9,sport
10,sport_de_l’extrême
11,parachutisme
12,voile
13,plongée
14,via_ferrata
15,vacances
16,plaisir
17,courage
18,peur
19,peureux
20,enfant
21,adulte
22,courage
23,gnome
24,les_elfes_dans_le_royaume
25,contre_le_sorcier
26,jeu
27,courage
28,noyade
29,pendaison
30,mort_
31,réanimation
32,samu
33,pompier
34,courage_qui_n'en_est_pas_un
35,fatigue
36,précipice
37,saut_de_l’ange
38,courir
39,iron_man
40,iron_man
41,quarante-et-une_fois
42,fond
43,inconscient
44,préparer
